subject,comparison,seed,passed,p_window,p_epoch,D,silhouette_coef,silh_thresh,acc,p_perm,hotelling_T2,F
0,right,12,True,5.194623444368054e-05,0.06010898168984874,1.6254805175513645,0.11839894,0.010734995594248174,0.7914438502673796,0.0,327.5402970087487,27.982632165040965
0,ctrl,12,False,0.5041071333833093,0.5639234907191045,0.8418742224793337,-0.006710145,0.015570977563038466,0.5625615763546797,0.089,30.83920384561918,2.6061299024466913
1,left,12,True,0.22864530846609,0.7332224210475407,1.6726775456580643,0.06005302,0.016447287611663333,0.8095238095238095,0.0,216.81679649821103,17.796965643719002
1,right,12,False,0.47082081064141396,1.0,1.7207798787490227,0.059844706,0.024144575372338262,0.7385620915032678,0.01,126.64842015343307,10.15896418343046
1,ctrl,12,False,1.0,1.0,1.5229467307906583,0.020357987,0.04105912838131175,0.47777777777777775,0.518,58.51819432699988,3.9898768859318103
2,left,12,True,0.00700959615693808,0.14824742096186766,1.585948325440524,0.1114511,0.01205114005133509,0.8576354679802956,0.0,239.7598386466018,20.22826630831369
2,right,12,False,0.035092016377734216,0.16370681443429685,1.4955251162828944,0.06543581,0.011929055489599695,0.8036559139784947,0.0,192.8694928822295,16.37242534400624
2,ctrl,12,False,0.665729432509462,0.7152491865522348,0.7658151412228251,-0.006864612,0.02838077889755364,0.5111111111111111,0.476,15.318596030490962,1.2343496801428668
3,left,12,True,0.0010622043595173436,0.10436996951170605,1.657145859542033,0.09614404,0.009147596452385184,0.8873440285204991,0.0,369.0750534409828,31.531056044246064
3,right,12,False,0.08635388918422368,0.4218340568296305,1.4530997503664158,0.054005884,0.011498507950454933,0.7515151515151516,0.0,183.44981143627479,15.654111070691602
3,ctrl,12,False,0.7418864139662975,0.776130071924499,0.5731929234110451,-0.006225562,0.01565642664209007,0.39333333333333337,0.963,13.34109562588634,1.1308791132508076
4,left,12,True,8.550803021726807e-05,0.06920580631231707,1.659572480612688,0.13289052,0.010566678410395956,0.8755555555555556,0.0,393.65904840584506,33.742204149072435
4,right,12,True,3.665889375106898e-38,1.5237021736822405e-14,1.7688898816689425,0.35245228,0.009057149291038513,0.9277777777777778,0.0,656.1652983278349,56.30018902915029
4,ctrl,12,False,0.0009787230808165613,0.019096056845063346,0.6575333482787389,0.060908414,0.016496344283223146,0.5888888888888889,0.022,21.70632649959368,1.8624427231520624
0,left,13,True,9.462701968377637e-09,0.001361188478296314,1.6951696295169427,0.20875563,0.00941727557219564,0.8826890756302521,0.0,439.79780227927654,37.61584215298815
0,right,13,True,9.529127203564906e-08,0.006795760033973624,1.6216292765382925,0.14603542,0.009896974544972171,0.797860962566845,0.0,322.9737979576892,27.59250409715198
0,ctrl,13,False,1.0,1.0,0.37561540502196133,-0.009189411,0.016837170906364916,0.4307881773399015,0.885,5.22934900301361,0.4419168171560797
1,left,13,True,0.0002872356417298065,0.04614063935774049,1.710252679296247,0.14509867,0.020744503010064343,0.7904761904761906,0.0,250.63771449565724,20.5730868915235
1,right,13,True,0.00022493939251823174,0.03819372365099502,1.7797632946801683,0.13881494,0.02093782844021916,0.9326797385620915,0.0,151.18706941340722,12.127305033161008
1,ctrl,13,False,0.20816092687277474,0.5594405594405595,1.278465165758762,0.0438888,0.057464269362389804,0.5222222222222223,0.459,28.797695898695473,1.9634792658201459
2,left,13,True,0.0003865216454971399,0.019854721879242917,1.5453941724974958,0.15228179,0.01338711697608231,0.7790640394088669,0.0,209.41744475362563,17.66831286672185
2,right,13,False,0.6268454833778392,0.7795012896649302,1.3356077285538805,0.06073306,0.011404180945828525,0.7191397849462365,0.0,122.22543138269573,10.375548359398012
2,ctrl,13,False,0.8328232908127734,1.0,1.077359012624729,-0.009941732,0.03268582858145235,0.5222222222222221,0.42,36.54640695341215,2.9448551057501526
3,left,13,True,0.00011387541679342721,0.018352094207934995,1.6693504773509453,0.12225619,0.010800216160714611,0.8935828877005347,0.0,387.26056312712575,33.08469214010494
3,right,13,True,0.06186704969937237,0.4218340568296305,1.6358319533594396,0.06184335,0.01007993230596184,0.8424242424242424,0.0,332.53606105171315,28.375915973737932
3,ctrl,13,False,1.0,1.0,0.6871525049369663,0.012853044,0.015835664235055443,0.42000000000000004,0.909,19.95982101444515,1.6919258599468248
4,left,13,True,4.6937804087688105e-11,0.000230893377531192,1.6909525945490644,0.18630166,0.010680335946381089,0.8761904761904761,0.0,447.0787462411284,38.32103539209672
4,right,13,True,0.051802920209627186,0.43789542152342975,1.707918251976576,0.122193865,0.012199069606140254,0.9388888888888889,0.0,489.4670629139417,41.99717393745771
4,ctrl,13,False,0.1794509405848386,0.6042080137327137,0.6023089575164903,0.008600075,0.016379642393439985,0.5611111111111111,0.111,17.862805201181335,1.5326615290084087
0,left,14,True,4.945290700824992e-10,0.0005160715193140973,1.7046462503712856,0.20395996,0.011062839487567493,0.8652100840336135,0.0,458.09448263254336,39.18075456620462
0,right,14,True,0.0011208009686480777,0.06010898168984874,1.6271045474402426,0.09724669,0.010433334112167346,0.8452762923351159,0.0,329.49483715113456,28.14961368870591
0,ctrl,14,False,0.7388019643829915,0.7724818212447502,0.6434735584258257,0.0038573528,0.0146314239129424,0.5495073891625616,0.158,16.524324333899497,1.3964217746957321
1,left,14,True,0.00031801391020243395,0.08580226016024245,1.6912706173496186,0.122845195,0.017113945446908457,0.9047619047619048,0.0,232.60978051998018,19.093300607553537
1,right,14,True,0.008747541210258673,0.2147592870231551,1.7599676230841534,0.096735954,0.021651534270495175,0.8490196078431372,0.0,142.2456978815309,11.410082717769857
1,ctrl,14,False,1.0,1.0,1.368283989032384,0.06675388,0.03941510692238804,0.6027777777777777,0.044,36.84429565144861,2.5121110671442235
2,left,14,True,0.23959438136976097,0.5639234907191044,1.5791670504918633,0.106268145,0.01590857924893498,0.8578817733990147,0.0,234.26574493247307,19.764735837991513
2,right,14,False,0.6275669967056685,1.0,1.3320297459096553,0.050214056,0.010768187418580055,0.7578494623655914,0.0,121.04712860605807,10.275523861200595
2,ctrl,14,False,0.8280894224334377,0.7103816512796233,0.7112495906854118,-0.0037611253,0.028050680458545668,0.4444444444444445,0.76,12.90469708611495,1.0398412941290973
3,left,14,True,0.0007106185769738562,0.03722744002540522,1.6332390057686985,0.10769194,0.011513017583638423,0.8342245989304813,0.0,337.0378052008864,28.794029359988105
3,right,14,False,0.001795716578257997,0.10780874722857894,1.4395390124313183,0.07322622,0.010401798691600544,0.8242424242424242,0.0,176.35447249996275,15.048652700777636
3,ctrl,14,False,1.0,0.5671848057206981,0.7424942876549709,-0.0073377434,0.01658947169780729,0.49333333333333335,0.545,23.843136852085223,2.021101281073563
4,left,14,True,0.07113781095952235,0.4378954215234296,1.6739744239445262,0.0843755,0.011547312373295406,0.8188888888888888,0.0,416.86737671152116,35.7314894324161
4,right,14,True,4.042216642025026e-33,2.3570201349515652e-12,1.7864035356923254,0.34549364,0.009505122434347854,0.9277777777777777,0.0,722.2025751005225,61.96630879309897
4,ctrl,14,False,0.006338467422311843,0.023720703916957266,0.7138003681347245,0.027139343,0.0120825686957687,0.55,0.157,26.14937340647456,2.2436643167965915
0,left,15,True,3.685384717244556e-09,0.0005160715193140973,1.7052532646268375,0.22079,0.01409620405174787,0.906890756302521,0.0,459.3072653911668,39.28448369940588
0,right,15,True,0.02974412144197882,0.4202316890595048,1.6243076974340571,0.08874506,0.01013274048455059,0.7914438502673796,0.0,326.1391826441632,27.86293126642358
0,ctrl,15,False,0.2432599843919031,1.0,0.5064249858813037,0.0011923255,0.017308967560529707,0.437192118226601,0.857,9.8010191842521,0.8282551423311634
1,left,15,True,0.018380006830999447,0.17558317615385854,1.7362365341664494,0.093047045,0.015445321938022966,0.8380952380952381,0.0,279.1052141196403,22.909783683253796
1,right,15,True,0.0007333967405570463,0.04434449441945693,1.75963258914042,0.07931367,0.02067231563851235,0.818954248366013,0.0,142.10099742933107,11.398475729625488
1,ctrl,15,False,1.0,1.0,1.1885363579098884,0.056791287,0.04312136173248289,0.5027777777777778,0.45,22.673139480417017,1.5458958736647965
2,left,15,True,0.6144975493796085,0.7724818212447502,1.6447621295297847,0.089072265,0.01107245865277946,0.8857142857142858,0.0,296.5085352427099,25.01608963133393
2,right,15,False,0.5196636801934126,0.5793293835182581,1.3853138448015305,0.05299136,0.010061069391667817,0.686021505376344,0.0,140.08931633310402,11.891988924122616
2,ctrl,15,False,0.1387191034964366,0.26354191325389936,0.9685989231031935,-0.0018476535,0.02746744751930236,0.4111111111111111,0.913,27.36163309885447,2.2047596918498433
3,left,15,True,0.2834202927162247,0.187837636362853,1.6937656813096862,0.08583261,0.009935928741469946,0.8814616755793226,0.0,428.098393590126,36.5735757941181
3,right,15,False,0.002848464855675399,0.10602900289023402,1.491110214547517,0.07645595,0.009977559000253669,0.7636363636363637,0.0,205.42653330493425,17.52942531826823
3,ctrl,15,False,0.3272107572577332,0.3961039594506548,0.591525506336738,0.0047928714,0.01530378190800547,0.42666666666666664,0.881,14.2918588813972,1.2114720673420232
4,left,15,True,5.099928717567646e-21,7.02216623448274e-08,1.688164110943415,0.27613902,0.009957555215805736,0.8871428571428572,0.0,441.8854398296152,37.87589484253844
4,right,15,True,1.2925882442734915e-15,6.318788152259724e-06,1.7784144963738486,0.24577972,0.00930094332434237,0.9222222222222222,0.0,690.7457518460651,59.267255521010696
4,ctrl,15,False,0.024493884580900047,0.06920580631231707,0.8658912971425443,0.006570151,0.014878380717709654,0.55,0.139,41.343899124392635,3.5473825602134643
0,left,16,True,1.548984859493175e-05,0.03430794507619394,1.673134802205833,0.1523226,0.011686598416417783,0.8598319327731092,0.0,401.4548790285483,34.33637749625561
0,right,16,True,5.930387949883812e-06,0.0069418746039892265,1.659103512005884,0.12789996,0.01212778659537433,0.8342245989304813,0.0,371.9025468656529,31.772616271107253
0,ctrl,16,False,0.4045726603458891,0.7724818212447502,0.6905237344915806,-0.0024539332,0.016762339323759076,0.4374384236453202,0.869,19.37085509067013,1.6369736696340955
1,left,16,True,0.0754301330083815,0.29580451709629063,1.6821260391417643,0.06290226,0.01562897809781129,0.8285714285714285,0.0,224.63032127807946,18.438322929268658
1,right,16,True,0.01565669607025383,0.237847742795269,1.7631508176127242,0.12897131,0.023708222806453703,0.8058823529411765,0.0,143.6309727043944,11.52120101906907
1,ctrl,16,False,0.21460300746770808,0.26573426573426573,1.506768960275471,0.06001975,0.06182248070836067,0.638888888888889,0.084,55.56388986691603,3.788447036380638
