seed,test_idx,hbr_multiplier,hbr_shift,window_length,add_hbr,accuracy
43,2,1,2,20,True,0.5092070092070092
43,2,1,2,20,False,0.5093555093555093
43,2,1,2,30,True,0.539039039039039
43,2,1,2,30,False,0.5103436770103437
43,2,1,3,15,True,0.49859234234234234
43,2,1,3,15,False,0.44988738738738737
43,2,1,3,20,True,0.5029700029700029
43,2,1,3,20,False,0.487971487971488
43,2,1,3,30,True,0.5523857190523858
43,2,1,3,30,False,0.4893226559893227
43,2,3,0,15,True,0.5032376126126126
43,2,3,0,15,False,0.5175957207207207
43,2,3,0,20,True,0.5331155331155332
43,2,3,0,20,False,0.5267300267300268
43,2,3,0,30,True,0.5557223890557224
43,2,3,0,30,False,0.5523857190523858
43,2,3,1,15,True,0.4970439189189189
43,2,3,1,15,False,0.4978885135135135
43,2,3,1,20,True,0.5166320166320166
43,2,3,1,20,False,0.5307395307395307
43,2,3,1,30,True,0.5453787120453787
43,2,3,1,30,False,0.539039039039039
43,2,3,2,15,True,0.5208333333333334
43,2,3,2,15,False,0.48930180180180183
43,2,3,2,20,True,0.5092070092070092
43,2,3,2,20,False,0.4876744876744877
43,2,3,2,30,True,0.539039039039039
43,2,3,2,30,False,0.5155155155155156
43,2,3,3,15,True,0.49859234234234234
43,2,3,3,15,False,0.45903716216216217
43,2,3,3,20,True,0.5029700029700029
43,2,3,3,20,False,0.46332046332046334
43,2,3,3,30,True,0.5523857190523858
43,2,3,3,30,False,0.4387721054387721
43,2,5,0,15,True,0.5032376126126126
43,2,5,0,15,False,0.486768018018018
43,2,5,0,20,True,0.5331155331155332
43,2,5,0,20,False,0.546035046035046
43,2,5,0,30,True,0.5527193860527194
43,2,5,0,30,False,0.5256923590256923
43,2,5,1,15,True,0.4970439189189189
43,2,5,1,15,False,0.504786036036036
43,2,5,1,20,True,0.5166320166320166
43,2,5,1,20,False,0.489010989010989
43,2,5,1,30,True,0.5453787120453787
43,2,5,1,30,False,0.539039039039039
43,2,5,2,15,True,0.5208333333333334
43,2,5,2,15,False,0.43398085585585583
43,2,5,2,20,True,0.5092070092070092
43,2,5,2,20,False,0.46762696762696765
43,2,5,2,30,True,0.539039039039039
43,2,5,2,30,False,0.48415081748415084
43,2,5,3,15,True,0.49859234234234234
43,2,5,3,15,False,0.46903153153153154
43,2,5,3,20,True,0.5029700029700029
43,2,5,3,20,False,0.4778734778734779
43,2,5,3,30,True,0.5523857190523858
43,2,5,3,30,False,0.47147147147147145
43,3,1,0,15,True,0.5372205284552846
43,3,1,0,15,False,0.6190294715447154
43,3,1,0,20,True,0.6794425087108014
43,3,1,0,20,False,0.6455373894398284
43,3,1,0,30,True,0.6857874134296899
43,3,1,0,30,False,0.6520626317374285
43,3,1,1,15,True,0.6465955284552846
43,3,1,1,15,False,0.5664380081300813
43,3,1,1,20,True,0.6529080675422139
43,3,1,1,20,False,0.645805414098097
43,3,1,1,30,True,0.6576332429990966
43,3,1,1,30,False,0.6618488407106293
43,3,1,2,15,True,0.5417936991869918
43,3,1,2,15,False,0.5746951219512195
43,3,1,2,20,True,0.6472795497185742
43,3,1,2,20,False,0.5852318413294023
43,3,1,2,30,True,0.662451068955134
43,3,1,2,30,False,0.5888286660644384
43,3,1,3,15,True,0.5275660569105691
43,3,1,3,15,False,0.5238821138211383
43,3,1,3,20,True,0.67971053336907
43,3,1,3,20,False,0.6139104797641383
43,3,1,3,30,True,0.657934357121349
43,3,1,3,30,False,0.6288768443239988
43,3,3,0,15,True,0.5372205284552846
43,3,3,0,15,False,0.629954268292683
43,3,3,0,20,True,0.6794425087108014
43,3,3,0,20,False,0.6273117126775664
43,3,3,0,30,True,0.6865401987353207
43,3,3,0,30,False,0.6520626317374285
43,3,3,1,15,True,0.6465955284552846
43,3,3,1,15,False,0.5651676829268293
43,3,3,1,20,True,0.6529080675422139
43,3,3,1,20,False,0.6387027606539801
43,3,3,1,30,True,0.6576332429990966
43,3,3,1,30,False,0.657031014754592
43,3,3,2,15,True,0.5417936991869918
43,3,3,2,15,False,0.5471290650406504
43,3,3,2,20,True,0.6472795497185742
43,3,3,2,20,False,0.5842937550254623
43,3,3,2,30,True,0.662451068955134
43,3,3,2,30,False,0.6168322794339054
43,3,3,3,15,True,0.5275660569105691
43,3,3,3,15,False,0.5509400406504065
